GenID	FL21_STAND_BLUE	FL21_TPF_BLUE	FL21_EL_BLUE	FL21_EW_BLUE	FL21_SOL_BLUE	FL21_TP_BLUE	FL21_CUR_BLUE	FL21_STAND_BLUP	FL21_TPF_BLUP	FL21_EL_BLUP	FL21_EW_BLUP	FL21_SOL_BLUP	FL21_TP_BLUP	FL21_CUR_BLUP
C004	61.03328839	0.988941124	19.00283812	4.603231853	0.844348747	126.6935778	43.60289332	59.88345838	0.991824455	19.87808567	4.799703249	0.815767413	119.0473546	53.47869208
C005	47.83457108	0.991522019	26.40478841	5.248121738	0.750808773	141.158205	54.95107887	48.13141566	0.993189085	25.61676276	5.028162398	0.789139494	126.614467	54.60346254
C015	77.64628993	0.991586	22.65018175	4.654853393	0.805141923	116.0576649	43.72807274	76.56550578	0.993222908	22.33871259	4.817990776	0.805947498	113.7645951	53.3807346
C021	47.83457108	0.992836988	21.51326844	5.031251565	0.86983933	126.1883382	57.02700149	48.13141566	0.993884367	21.6971798	4.951334035	0.824843091	119.0557617	54.80215494
C024	32.62845395	0.988941124	19.00283812	4.603231853	0.842928801	123.3776378	68.24315938	36.46507778	0.995138607	22.46085105	4.914830427	0.812709926	116.1842683	55.07644009
C025	80.21177096	0.995606093	20.71072217	4.557883129	0.808273264	103.2848118	59.80866227	78.56120107	0.995348509	20.86033396	4.78363895	0.807335309	107.937577	54.97217283
C027	30.21177096	0.997188587	25.55746144	4.494820999	0.812831597	93.13588612	59.09340262	32.62596528	0.996185243	24.74403409	4.761298578	0.808702595	102.8130999	54.90371332
C029	46.19252259	0.998585366	26.8662234	4.595947512	0.834725221	89.52628022	27.67794101	47.3643181	0.996326645	25.46201995	4.840427271	0.809602976	104.0332002	53.08896186
C030	52.41357562	0.995309761	28.38186955	5.481272734	0.686978923	98.69688905	95.05754978	52.91517521	0.995149455	26.55627313	5.031001374	0.773202562	105.1865326	57.93784353
C031	35.64628993	0.997931729	29.93594257	5.464577547	0.704039475	105.8223492	77.68338137	37.97990772	0.996578175	28.17680467	5.104843413	0.775621496	108.5964974	56.63069278
C032	63.52101478	0.998013334	24.19182507	4.285989686	0.829560771	94.12697285	49.11876738	63.15565692	0.996621332	23.89086009	4.687317626	0.814835973	103.2330877	53.7011908
C033	35.83457108	0.996468512	26.85479651	5.233353277	0.784525106	117.6499274	62.86648232	37.10695907	0.995804514	25.97735499	5.022930527	0.799252817	114.7444788	55.36106809
C034	7.521014783	0.988941124	19.00283812	4.726349616	0.777621205	116.47624	53.38633129	11.70819284	0.995138607	22.46085105	4.874258766	0.799256535	113.3798702	54.16137656
